submitted_on,water_point_name,latitude,longitude,total_users_of_water_point,water_point_photos,likely_submerged_during_flood,evidence_submerged,evidence_not_submerged,functional_status,pumpable_at_visit,reported_problems,reported_problems_other,water_quality_problems,civil_works_problems,civil_works_photo,pump_problems,pump_problems_other,pump_problems_photo,pump_operational_feel,time_to_pump_20l,strokes_to_yield_water,sediment_presence,electrical_conductivity_magnitude,electrical_conductivity_units,total_dissolved_solids_ppt,ph,fluoride_ppm,ammonia_mg_per_l,nitrate_mg_per_l,free_chlorine_mg_per_l,arsenic_magnitude,arsenic_units,turbidity_magnitude,turbidity_units,temperature_magnitude,temperature_units,temperature_time,comments,sample_type,sample_date,mpn_100ml,upper_95_ci_100ml,health_risk_category,color_change_image
05/02/2020,Jika borehole o1,-15.9760269,35.362434,699,https://api.mwater.co/v3/images/6ac19d5eea994a8e8e2d15b24ea0d019; https://api.mwater.co/v3/images/65aa242a06dc459e8d1137f2dc4d9804,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,Damage or problem with pump,NA,NA,NA,NA,Pump loose at the point of attachment,NA,https://api.mwater.co/v3/images/ccec2660d0f145bcb7085055a614a862,Significant sideways movement on handle (loose/wobbly),86.3,3,Present,117.7,?S / cm,0.06,7.12,1,0.4,0.7,0,5,ppb,5,NTU,26.7,C,6/18/2019 9:58,NA,Point of collection,6/18/2019,0,2.87,safe,https://api.mwater.co/v3/images/82165ae3e7ba43f2ba25fe332d619506
20/06/2019,Nankhumwa Chitseko Borehole 1,-15.901745,35.3368483,723,https://api.mwater.co/v3/images/27fb8bf934614b4b9cfffdf9221c1416,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point",NA,NA,"Platform cracked or damaged , Fence/barrier is missing or damaged, Drainage channel cracked, broken, or in need of cleaning",https://api.mwater.co/v3/images/b09546c8c9d54dd29247aee12658d76a,NA,NA,NA,"Very light, Significant sideways movement on handle (loose/wobbly)",66.731,1,Present,3416,?S / cm,1.79,7.18,0.9,0.1,0.1,0,5,ppb,5,NTU,23.6,C,6/18/2019 13:11,NA,Point of collection,6/18/2019,0,2.87,safe,https://api.mwater.co/v3/images/d1755b6ba5144bc2959ae9fc16ce4fd3
13/06/2019,Rabison water point,-15.62426439,35.49468265,359,https://api.mwater.co/v3/images/4979c094977e4d57a5cc3dbf54f97746; https://api.mwater.co/v3/images/a426468c72a747908528742e3ea04621,No,NA,Local report not seeing the water point submerged,Not functional,NA,Damage or problem with pump,NA,NA,NA,NA,NA,NA,https://api.mwater.co/v3/images/9db3f91a4d3f4dc3aae4f93bde0a0342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/18/2019,NA,NA,NA,NA
06/07/2019,Cheyadi village,-15.86308949,35.36130238,532,https://api.mwater.co/v3/images/0f38bf9fc7e3413bb983a46ec76a4472; https://api.mwater.co/v3/images/3336e91493ab4844889a8f0b2ead5f1f,Yes,Local report seeing the water point submerged,NA,Partially functional but in need of repair,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,63.001,2,Absent,54.2,?S / cm,0.06,6.05,0.2,1,0.5,0,5,ppb,5,NTU,27.9,C,6/18/2019 10:14,The bolehole is in good condition just needed minor changes,Point of collection,6/18/2019,0,2.87,safe,https://api.mwater.co/v3/images/bd1a268223c74e5abb76dcd0ac6f68b6
09/02/2020,Cheyadi village,-15.86308949,35.36130238,600,https://api.mwater.co/v3/images/6353058fbdda4e1186a1902ba9487ee6; https://api.mwater.co/v3/images/cfaccf4f713242488a8407e7ebf2288a,Yes,"Local report seeing the water point submerged, Fresh debris, mud, or water lines",NA,Functional,Yes,NA,NA,NA,NA,NA,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke, Significant sideways movement on handle (loose/wobbly)",65.69,2,Absent,985,?S / cm,0.4,7.35,0.4,0.12,0.7,0,0,ppb,5,NTU,25.5,C,6/18/2019 11:02,NA,Point of collection,6/18/2019,0,2.87,safe,https://api.mwater.co/v3/images/4c72e3e1eccb4a31baf50fefa6136308
04/07/2019,Nthiramanja(kapala),-15.96440299,35.33836126,450,https://api.mwater.co/v3/images/b45a27606f474dc7a541f6388a6a7044; https://api.mwater.co/v3/images/25e55e2cfb544b11805a55e24958dd19; https://api.mwater.co/v3/images/fe41c16d54ff47b890d552e9b1deb3c7,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Functional,Yes,"Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Pedestal cracked or damaged, Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/bc9525e982054eda90fef53f7184f173,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke, Significant sideways movement on handle (loose/wobbly)",82.67,2,Absent,851,?S / cm,0.42,7.35,0.4,0.1,0.08,0,0,ppb,5,NTU,28.9,C,6/18/2019 12:56,NA,Point of collection,6/18/2019,0,2.87,safe,https://api.mwater.co/v3/images/d44c10f94fbd49f08a02b80574bd9d99
03/12/2019,Nthiramanja(kapala),-15.96440299,35.33836126,350,https://api.mwater.co/v3/images/cbad080b69f44ea28c6287420529bd9f; https://api.mwater.co/v3/images/2b887c7671f549039f7de2052f2ccae4,No,NA,Local report not seeing the water point submerged,Functional,Yes,NA,NA,NA,NA,NA,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke",67.441,2,Absent,3195,?S / cm,1.69,7.11,0.6,0.1,0.65,0,0,ppb,5,NTU,24.6,C,6/18/2019 14:31,NA,Point of collection,6/18/2019,0,2.87,safe,https://api.mwater.co/v3/images/87a12ca8409e470eb46182e490bda17d
01/02/2020,Nthiramanja(kapala),-15.96440299,35.33836126,360,https://api.mwater.co/v3/images/59a03db28066453f8be4b89b6e1f3c16; https://api.mwater.co/v3/images/1940b9e542e74f3b91f510bef87c02c9,Yes,Local report seeing the water point submerged,NA,Not functional,NA,"Soil erosion or collapse around the water point, Damage to civil works - platform, well head, riser etc",NA,NA,"Faulty drainage , Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/7f03aceb8f1d47b39b5d958ce98919fa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/07/2019,Nthiramanja borehole  01,-15.9603408,35.3387998,769,https://api.mwater.co/v3/images/4104642122d640d891714392a023ffb9,Yes,Local report seeing the water point submerged,NA,No longer exists or abandoned,NA,Damage or problem with pump,NA,NA,NA,NA,Missing pump head,NA,https://api.mwater.co/v3/images/2ab3bd5acdd14b90bc51bfb34a543692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/01/2020,Nthiramanja borehole  01,-15.9603408,35.3387998,1023,https://api.mwater.co/v3/images/d7f97b5e2e1040e3888e6b0f2fd76496; https://api.mwater.co/v3/images/5d76924b488e49698e85c64f2ab2e843,No,NA,Local report not seeing the water point submerged,Not functional,NA,"Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/68d379dcb5a0403eb1572d8047b8c4f5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/06/2019,Mkwera   village Borehole,-15.9157038,35.4608593,0,https://api.mwater.co/v3/images/480b8e8510fb4d3fa5ade85e5ba8ec55; https://api.mwater.co/v3/images/7a5e6cfbbd1d43fbb8e1eae64aaaf87f,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",No longer exists or abandoned,NA,Damage or problem with pump,NA,NA,NA,NA,"Pump loose at the point of attachment, Missing pump head",NA,https://api.mwater.co/v3/images/fc17b53ca4434eaaaead41f67b110652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/11/2019,Mkwera   village Borehole,-15.9157038,35.4608593,600,https://api.mwater.co/v3/images/bb92537cac4b493494d0e8ccc00295c2; https://api.mwater.co/v3/images/fb12ed9471ae43dc9672d3bf130f32b0,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc",NA,NA,Fence/barrier is missing or damaged,https://api.mwater.co/v3/images/50265a3f1e4248a2b1646a8e84f404e2,NA,NA,NA,Very light,66.741,2,Absent,708,?S / cm,0.34,7.5,0.3,0.15,0.5,0,5,ppb,5,NTU,23,C,6/19/2019 13:32,NA,Point of collection,6/19/2019,0,2.87,safe,https://api.mwater.co/v3/images/0fdc00cbc20042b19941d3c78a0626b1
31/01/2020,Mkwera   village Borehole,-15.9157038,35.4608593,2000,https://api.mwater.co/v3/images/488ee6c378ab4678ace79131a74d0160,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,Damage or problem with pump,NA,NA,NA,NA,Pump loose at the point of attachment,NA,https://api.mwater.co/v3/images/b833184df92c4ecb908734ef3aa445b6,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke, Significant friction (very stiff) at all times",47.311,3,Absent,601,?S / cm,0.31,7.8,0.3,0.3,2,0,0,ppb,5,NTU,35.9,C,6/18/2019 22:27,NA,Point of collection,6/18/2019,13.6,83.06,possibly_unsafe,https://api.mwater.co/v3/images/64c18fcdceb94faf9b98513ae77a16da
18/06/2019,Kunlola   borehole 1,-15.917365,35.4062191,650,https://api.mwater.co/v3/images/5d3a7857de8e4c4e8857ab825aa1c531; https://api.mwater.co/v3/images/30629073cec94406b0249b567ba10c72,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Not functional,NA,Damage or problem with pump,NA,NA,NA,NA,Pump loose at the point of attachment,NA,https://api.mwater.co/v3/images/1634ec362f334bdc828d7287d94a35f7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Point of collection,6/19/2019,0,2.87,safe,https://api.mwater.co/v3/images/9d4c443ae25d4f65926a8fc07559a4e2
26/11/2019,Kunlola   borehole 1,-15.917365,35.4062191,1500,https://api.mwater.co/v3/images/063abae996004b36a46f1ed9e6f38286; https://api.mwater.co/v3/images/b910834680114133884f7d71a0a7516d,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,Damage or problem with pump,NA,NA,NA,NA,Pump loose at the point of attachment,NA,https://api.mwater.co/v3/images/38c5eca6cf6b4716a5596184fccdf4e1,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke",71.93,3,Absent,1047,?S / cm,0.52,7.2,0.2,2.1,1.3,0,5,ppb,5,NTU,26.4,C,6/21/2019 7:05,NA,Point of collection,6/19/2019,0,2.87,safe,https://api.mwater.co/v3/images/139fd87730ed4b69b035a8a827710af3
06/02/2020,Kunlola   borehole 1,-15.917365,35.4062191,1830,https://api.mwater.co/v3/images/f347d5d4250e4901b858740608e6b030,Yes,"Local report seeing the water point submerged, Fresh debris, mud, or water lines",NA,Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point",NA,NA,"Platform cracked or damaged , Faulty drainage , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/2d3b5477e1624921856db882dae39642,NA,NA,NA,"Significant friction (very stiff) at all times, Significant sideways movement on handle (loose/wobbly)",61.69,3,Absent,142.7,?S / cm,0.07,6.8,0.2,0.15,0.8,0,5,ppb,10,NTU,23.4,C,6/20/2019 7:59,NA,Point of collection,6/20/2019,0,2.87,safe,https://api.mwater.co/v3/images/9db49d11080945afa9c640c8bef52506
21/06/2019,Makulo  primary school borehole,-15.9097417,35.4073733,2450,https://api.mwater.co/v3/images/51619c0ed66a4e699f7d661e11fc576b; https://api.mwater.co/v3/images/a3dc271ebacd4b938c5593ec0d62750f,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,"Leakage from pump/ pedestal, Damage to civil works - platform, well head, riser etc",NA,NA,"Faulty drainage , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/af158af6145c4a17a16b26a5e0a818e6,NA,NA,NA,"Significant friction (very stiff) at all times, Significant sideways movement on handle (loose/wobbly)",62.73,2,Absent,254.6,?S / cm,0.12,6.62,0.4,0.7,0.5,0,5,ppb,5,NTU,24.6,C,6/20/2019 9:23,NA,Point of collection,6/20/2019,0,2.87,safe,https://api.mwater.co/v3/images/e21c35ae9e274d04bab0fd88ee7b04e3
26/11/2019,Makulo  primary school borehole,-15.9097417,35.4073733,380,https://api.mwater.co/v3/images/9da5c67d0e9a4232969fdf7a070e3f25,No,NA,Local report not seeing the water point submerged,Not functional,NA,Other,The rods and pump head were stolen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/02/2020,Makulo  primary school borehole,-15.9097417,35.4073733,400,https://api.mwater.co/v3/images/75700045b13a4b58931ea2e62545eb11,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,Very light,50.415,1,Absent,610,?S / cm,0.3,7.4,0.2,0.3,1,0,5,ppb,5,NTU,25,C,6/20/2019 9:35,NA,Point of collection,6/20/2019,0,2.87,safe,https://api.mwater.co/v3/images/57f35e40e59d418989c3076f4560a45e
01/12/2019,Kumwanje  (Ngakusa)borehole 02,-15.96556,35.3188383,1200,https://api.mwater.co/v3/images/c64d09f5c93c419ca71a43da075e0d7f,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,Significant friction (very stiff) on down stroke,72.266,2,Present,490,?S / cm,0.23,6.96,0.1,0.99,1,0,5,ppb,5,NTU,24.4,C,6/20/2019 14:07,NA,Point of collection,6/20/2019,0,2.87,safe,https://api.mwater.co/v3/images/4c6cdc12794946679aed729a2dc32a2b
08/02/2020,Kumwanje  (Ngakusa)borehole 02,-15.96556,35.3188383,1340,https://api.mwater.co/v3/images/046b88895306443caef7372b96446108,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,Damage or problem with pump,NA,NA,NA,NA,NA,NA,https://api.mwater.co/v3/images/683aaca0076d4b9694915ea736a6c77f,"Significant friction (very stiff) at all times, Significant sideways movement on handle (loose/wobbly)",53.71,4,Present,430,?S / cm,0.2,6.48,0.2,0.05,0.4,0,5,ppb,5,NTU,24.2,C,6/20/2019 11:52,NA,Point of collection,6/20/2019,0,2.87,safe,https://api.mwater.co/v3/images/cfa3d927ca4d4e1aa1d2a44b12c4e617
31/01/2020,Beseni borehole 2,-15.6284695,35.5129812,780,https://api.mwater.co/v3/images/85526c61227e4ae0bc535d5de45b1bc3; https://api.mwater.co/v3/images/605ff3b23f0440a88af66083b2204d77,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,NA,NA,NA,NA,NA,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant sideways movement on handle (loose/wobbly)",64.94,3,Absent,103.5,?S / cm,0.05,6.8,0.2,0.05,0.5,0,5,ppb,15,NTU,27.8,C,6/20/2019 10:32,NA,Point of collection,6/20/2019,0,2.87,safe,https://api.mwater.co/v3/images/8279fb764bf44e50a5907afdd8b35e19
28/11/2019,Khunje borehole,-15.6307631,35.5163641,2265,https://api.mwater.co/v3/images/eadb4a174d75463199b6bab5e1c08f29,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,Leakage from pump/ pedestal,NA,NA,NA,NA,NA,NA,NA,"Very light, Significant sideways movement on handle (loose/wobbly)",60.76,3,Absent,496,?S / cm,0.21,7.1,0.2,0.05,0.01,0,5,ppb,5,NTU,27.5,C,6/20/2019 14:19,NA,Point of collection,6/20/2019,0,2.87,safe,https://api.mwater.co/v3/images/446c5c9a77874633b6307e6d54f70877
07/02/2020,Khunje borehole,-15.6307631,35.5163641,856,https://api.mwater.co/v3/images/0b46676ff49e4ad5be033750d7138982; https://api.mwater.co/v3/images/e13d38f089c6482c83106576a202b15c,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,Significant friction (very stiff) on down stroke,64.527,1,Absent,1450,?S / cm,0.71,7.17,1.6,0.15,0,0,5,ppb,5,NTU,23.6,C,6/20/2019 7:31,The bolehole is now functional the community promised to look after the the bolehole to the advantage of all,Point of collection,6/20/2019,0,2.87,safe,https://api.mwater.co/v3/images/d555e35172e6444982c7a2696ffef2af
19/06/2019,Fundi  borehole 1,-15.9584665,35.4193718,0,https://api.mwater.co/v3/images/124c5cd9a26f4b1cb6e21e88df26842b; https://api.mwater.co/v3/images/191bb61c84a34ba687df04f40e27611a,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",No longer exists or abandoned,NA,Damage or problem with pump,NA,NA,NA,NA,Missing pump head,NA,https://api.mwater.co/v3/images/1178b0ddfa68485cba2a5d7d1862707f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/11/2019,Fundi  borehole 1,-15.9584665,35.4193718,560,https://api.mwater.co/v3/images/e7ae8eb4324b4e2c9fff37108db5eeab; https://api.mwater.co/v3/images/84d92718a1444e8aa96a390331d71945,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Faulty drainage , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/4a874bed83964e059bf560f65e7b6da8,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke",71.691,2,Absent,1403,?S / cm,0.71,7.51,0.6,1,0.05,0,0,ppb,5,NTU,25.9,C,6/20/2019 11:23,NA,Point of collection,6/20/2019,0,2.87,safe,https://api.mwater.co/v3/images/9faef17ac02340249ff98a7c35308c78
02/02/2020,Fundi  borehole 1,-15.9584665,35.4193718,600,https://api.mwater.co/v3/images/66827d4388d746e0938c4e765862ef12; https://api.mwater.co/v3/images/689efd32fad34b98ab83a257ed3e070f,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point",NA,NA,"Platform cracked or damaged , Faulty drainage , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/c671013b2ef544f1b5b3fec0e08f55b1,NA,NA,NA,"Significant friction (very stiff) on up stroke, Significant friction (very stiff) on down stroke, Significant friction (very stiff) at all times, Can only be moved with extreme force, Significant sideways movement on handle (loose/wobbly)",245.808,10,Absent,1325,?S / cm,0.68,7.31,0.7,0.1,1,0,0,ppb,5,NTU,31.5,C,6/20/2019 10:16,NA,Point of collection,6/20/2019,0,2.87,safe,https://api.mwater.co/v3/images/136c752faf08472a8778af1b076f2716
19/06/2019,Salamu  borehole 3,-15.949285,35.4044217,300,https://api.mwater.co/v3/images/2346761d57a342739478fddb72443231; https://api.mwater.co/v3/images/56f77ac48784493591ff8f79026c40a2,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Faulty drainage , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/a24525de9fa14331a2a50d6b1a051402,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant sideways movement on handle (loose/wobbly)",80.534,2,Absent,1601,?S / cm,0.8,7.5,0.3,0.15,0,NA,5,ppb,5,NTU,25,C,6/20/2019 12:25,NA,Point of collection,6/20/2019,0,2.87,safe,https://api.mwater.co/v3/images/461cb628a7c34131a8aa97733c4ff4b3
04/12/2019,Salamu  borehole 3,-15.949285,35.4044217,0,https://api.mwater.co/v3/images/bd22dfb78ce74a5d8dc8c30514d478e2; https://api.mwater.co/v3/images/2b1b0f31a0a74bc5847775d83a35c951,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Not functional,NA,Damage or problem with pump,NA,NA,NA,NA,Pump loose at the point of attachment,NA,https://api.mwater.co/v3/images/593ca1fbae66433a98f6cc0755434b7d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Point of collection,6/20/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/2da6d864c1dc4d428b20102b61f41779
01/02/2020,Salamu  borehole 3,-15.949285,35.4044217,200,https://api.mwater.co/v3/images/27d9b22a2b7c457e96d1f8291a7fd6ec,Yes,"Fresh debris, mud, or water lines, Local report seeing the water point submerged",NA,Partially functional but in need of repair,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,Significant friction (very stiff) on down stroke,35.943,2,Absent,710,?S / cm,0.36,7.22,NA,3,4,0,5,ppb,5,NTU,22.1,C,6/18/2019 7:59,NA,Point of collection,6/18/2019,NA,NA,NA,NA
18/06/2019,Salamu  borehole 2,-15.9456764,35.3981304,600,https://api.mwater.co/v3/images/7de32a23bb1546c480a362156a2e26c1,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Functional,Yes,"Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Faulty drainage , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/4c01560672b14417a1b89a1a61fe4480,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke, Significant sideways movement on handle (loose/wobbly)",83.641,3,Absent,595,?S / cm,0.28,7.75,1.05,0.8,0,0,0,ppb,5,NTU,24,C,6/21/2019 10:28,NA,Point of collection,6/21/2019,0,2.87,safe,https://api.mwater.co/v3/images/84eb2f7167d4423d84c1236c79c4dda1
22/11/2019,Salamu  borehole 2,-15.9456764,35.3981304,569,https://api.mwater.co/v3/images/45172d8adbc14ee381a08f56aa4b887d; https://api.mwater.co/v3/images/928e02ba652d4446adc51e645434a034,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Fence/barrier is missing or damaged, Drainage channel cracked, broken, or in need of cleaning",https://api.mwater.co/v3/images/2b1461ce2e0a48158d2422e53c2d034e,NA,NA,NA,"Very light, Significant sideways movement on handle (loose/wobbly)",76.962,9,Present,647,?S / cm,0.31,7.34,0.1,1,0,0,5,ppb,5,NTU,26.1,C,6/21/2019 12:23,It takes long for water to start coming out of the borehole.,Point of collection,6/21/2019,0,2.87,safe,https://api.mwater.co/v3/images/5289dbde060548a98a191f9be3b13d49
04/02/2020,Salamu  borehole 2,-15.9456764,35.3981304,425,https://api.mwater.co/v3/images/d1289097935e47e29d8f96f980add55f,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,Damage or problem with pump,NA,NA,NA,NA,NA,NA,https://api.mwater.co/v3/images/7361aaff1e47408c8f30f2ee390fa08f,"Significant sideways movement on handle (loose/wobbly), Significant friction (very stiff) on down stroke",56.14,4,Absent,299.6,?S / cm,0.14,6.92,0.4,0.65,0.2,0,5,ppb,15,NTU,23.7,C,6/21/2019 10:27,NA,Point of collection,6/21/2019,0,2.87,safe,https://api.mwater.co/v3/images/45d39025d5aa48d1a7e5c9b6f81bcd19
13/06/2019,Mwanamvula borehole 2,-15.9742535,35.4743517,783,https://api.mwater.co/v3/images/25c6fb0bc6f14d69894f3523515d76ff; https://api.mwater.co/v3/images/d115237d6dc74a7ea98c1d5e87a7684c; https://api.mwater.co/v3/images/5ef76095ac924a95b7a0aaf9d9cda915,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,56.15,1,Absent,786,?S / cm,0.38,7.3,1.7,0.05,1,0,5,ppb,5,NTU,23.6,C,6/21/2019 10:14,NA,Point of collection,6/21/2019,0,2.87,safe,https://api.mwater.co/v3/images/abbd1b3baa2344199e770b7f1f0f7446
21/11/2019,Mwanamvula borehole 2,-15.9742535,35.4743517,689,https://api.mwater.co/v3/images/04c858f2ec384b63a65ee9c9c2854199; https://api.mwater.co/v3/images/9107a853b7d14c5aa1a0a2148f4faaa9; https://api.mwater.co/v3/images/af7bba4b646945099df99be220997a13,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,Very light,55.611,1,Absent,1882,?S / cm,0.09,6.79,1.8,0.3,1,0,5,ppb,5,NTU,25.4,C,6/21/2019 12:00,NA,Point of collection,6/21/2019,0,2.87,safe,https://api.mwater.co/v3/images/780ab2fea2624cf7bc16d7a47fdd48bc
30/01/2020,Mwanamvula borehole 2,-15.9742535,35.4743517,268,https://api.mwater.co/v3/images/cfe8b1afa58543d996cfc2f4c336a315; https://api.mwater.co/v3/images/ee91fc70aff945ca8be8ceb472cdc990; https://api.mwater.co/v3/images/12ab9c26851d48e59f7f6d0666bf8a59,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,Significant friction (very stiff) on down stroke,61.741,2,NA,338,?S / cm,0.16,7,2,0.8,0.7,0,5,ppb,5,NTU,23.5,C,6/21/2019 13:34,NA,Point of collection,6/21/2019,0,2.87,safe,https://api.mwater.co/v3/images/d08cc26c6b634a248c774fe4502d5525
30/01/2020,Demula borehole 2,-15.9634953,35.4799572,535,https://api.mwater.co/v3/images/365b06c79191423c8e92609f2a1b11c7; https://api.mwater.co/v3/images/593b92000e9c462985c39dd93ac89b51; https://api.mwater.co/v3/images/60cfdf18de2f40f0a9ee05858163579e,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,"Soil erosion or collapse around the water point, Leakage from pump/ pedestal, Other",Water levels run low during summer,NA,NA,NA,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant sideways movement on handle (loose/wobbly), Significant friction (very stiff) on up stroke",104.092,5,NA,926,?S / cm,0.44,7.22,0.2,0.29,1,0,5,ppb,5,NTU,25.9,C,6/22/2019 8:38,NA,Point of collection,6/22/2019,0,2.87,safe,https://api.mwater.co/v3/images/a23043a9e3f94b5d9ca0153d26394030
